date,archetype
2014-03-15,Amulet Titan decks
2014-03-15,Bant Aggro decks
2014-03-15,Creatures Toolbox decks
2014-03-15,Creatures Toolbox decks
2014-03-15,Faeries decks
2014-03-15,Jund decks
2014-03-15,Junk decks
2014-03-15,Living End decks
2014-03-15,Loam decks
2014-03-15,Merfolk decks
2014-03-15,Merfolk decks
2014-03-15,Merfolk decks
2014-03-15,Scapeshift decks
2014-03-15,Scapeshift decks
2014-03-15,Stoneblade decks
2014-03-15,The Rock decks
2014-03-15,The Rock (Junk) decks
2014-03-15,Tokens decks
2014-03-15,Twin Exarch decks
2014-03-15,Twin Exarch decks
2014-03-15,Twin Exarch decks
2014-03-15,Twin Exarch decks
2014-03-15,UR Storm decks
2014-03-15,UR Storm decks
2014-03-15,UrzaTron decks
2014-03-15,UW Control decks
2014-03-15,UWx Midrange decks
2014-03-16,Ad Nauseam decks
2014-03-16,Affinity decks
2014-03-16,Affinity decks
2014-03-16,Affinity decks
2014-03-16,Affinity decks
2014-03-16,Affinity decks
2014-03-16,Affinity decks
2014-03-16,Affinity decks
2014-03-16,Belcher decks
2014-03-16,BUG Midrange decks
2014-03-16,BUG Midrange decks
2014-03-16,BUG Midrange decks
2014-03-16,BUG Midrange decks
2014-03-16,Burn decks
2014-03-16,Burn decks
2014-03-16,Canadian Threshold decks
2014-03-16,Canadian Threshold decks
2014-03-16,Creatures Toolbox decks
2014-03-16,Death & Taxes decks
2014-03-16,Death & Taxes decks
2014-03-16,Death & Taxes decks
2014-03-16,Delver (Other) decks
2014-03-16,Delver (Other) decks
2014-03-16,Elves decks
2014-03-16,Elves decks
2014-03-16,Elves decks
2014-03-16,Elves decks
2014-03-16,Elves decks
2014-03-16,Goblins decks
2014-03-16,Hatebear decks
2014-03-16,Hatebear decks
2014-03-16,Hatebear decks
2014-03-16,Jund decks
2014-03-16,Jund decks
2014-03-16,Jund decks
2014-03-16,Merfolk decks
2014-03-16,Merfolk decks
2014-03-16,Merfolk decks
2014-03-16,MUD decks
2014-03-16,Nic Fit  decks
2014-03-16,Other - Aggro decks
2014-03-16,Other - Combo decks
2014-03-16,Pikula decks
2014-03-16,Scapeshift decks
2014-03-16,Shoal Infect decks
2014-03-16,Show and Tell decks
2014-03-16,Show and Tell decks
2014-03-16,Show and Tell decks
2014-03-16,Show and Tell decks
2014-03-16,Show and Tell decks
2014-03-16,Stoneblade decks
2014-03-16,Stoneblade decks
2014-03-16,Stoneblade decks
2014-03-16,Stoneblade decks
2014-03-16,Storm decks
2014-03-16,The Rock decks
2014-03-16,The Rock decks
2014-03-16,Twin Exarch decks
2014-03-16,UR Aggro decks
2014-03-16,UR Delver decks
2014-03-16,UR Delver decks
2014-03-16,UR Storm decks
2014-03-16,UrzaTron decks
2014-03-16,UrzaTron decks
2014-03-16,UW Control decks
2014-03-16,UWx Control decks
2014-03-16,UWx Control decks
2014-03-16,UWx Control decks
2014-03-16,UWx Control decks
2014-03-16,UWx Control decks
2014-03-16,UWx Control decks
2014-03-16,UWx Control decks
2014-03-16,UWx Control decks
2014-03-16,UWx Control decks
2014-03-17,Affinity decks
2014-03-17,BUG Midrange decks
2014-03-17,Dredge decks
2014-03-17,Jund decks
2014-03-17,Jund decks
2014-03-17,Red Deck Wins decks
2014-03-17,Red Deck Wins decks
2014-03-17,Scapeshift decks
2014-03-17,Stoneblade decks
2014-03-17,The Rock decks
2014-03-17,UR Storm decks
2014-03-17,UW Control decks
2014-03-17,UWx Control decks
2014-03-17,Zoo decks
2014-03-18,Teaching Control decks
2014-03-18,UrzaTron decks
2014-03-18,UWx Control decks
2014-03-18,UWx Control decks
2014-03-22,Boros Aggro decks
2014-03-22,Boros Aggro decks
2014-03-22,Devotion to Black decks
2014-03-22,Esper Control decks
2014-03-22,Esper Control decks
2014-03-22,Esper Control decks
